# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: d4dfcb86cfd99bbcbd227844940a1f905336b356
# firmware_git_sha_short: d4dfcb86cfd9
# build_timestamp_utc: 2026-05-20T07:45:31Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

run,phase10_result,rom_ack_attempt,userhalt_size,userhalt_first
1,OK,1,0,NA
2,FAIL_NO_ROM_BASELINE,0,,
3,FAIL_NO_ROM_BASELINE,0,,
4,FAIL_NO_ROM_BASELINE,0,,
5,FAIL_NO_ROM_BASELINE,0,,
6,FAIL_NO_ROM_BASELINE,0,,
7,FAIL_NO_ROM_BASELINE,0,,
8,FAIL_NO_ROM_BASELINE,0,,
9,FAIL_NO_ROM_BASELINE,0,,
10,FAIL_NO_ROM_BASELINE,0,,
