delay_ms,burst,attempt,resp_size,first_byte,result_class,hex_prefix
30,1,1,1,79,ACK,79
30,1,2,0,NA,SILENT,NA
30,1,3,1,1f,NACK,1f
30,1,4,0,NA,SILENT,NA
30,1,5,1,1f,NACK,1f
30,1,6,0,NA,SILENT,NA
30,1,7,1,1f,NACK,1f
30,1,8,0,NA,SILENT,NA
30,1,9,1,1f,NACK,1f
30,1,10,0,NA,SILENT,NA
30,2,1,1,1f,NACK,1f
30,2,2,0,NA,SILENT,NA
30,2,3,1,1f,NACK,1f
30,2,4,0,NA,SILENT,NA
30,2,5,1,1f,NACK,1f
30,2,6,0,NA,SILENT,NA
30,2,7,1,1f,NACK,1f
30,2,8,0,NA,SILENT,NA
30,2,9,1,1f,NACK,1f
30,2,10,0,NA,SILENT,NA
30,3,1,1,1f,NACK,1f
30,3,2,0,NA,SILENT,NA
30,3,3,1,1f,NACK,1f
30,3,4,0,NA,SILENT,NA
30,3,5,1,1f,NACK,1f
30,3,6,0,NA,SILENT,NA
30,3,7,1,1f,NACK,1f
30,3,8,0,NA,SILENT,NA
30,3,9,1,1f,NACK,1f
30,3,10,0,NA,SILENT,NA
30,4,1,1,1f,NACK,1f
30,4,2,0,NA,SILENT,NA
30,4,3,1,1f,NACK,1f
30,4,4,0,NA,SILENT,NA
30,4,5,1,1f,NACK,1f
30,4,6,0,NA,SILENT,NA
30,4,7,1,1f,NACK,1f
30,4,8,0,NA,SILENT,NA
30,4,9,1,1f,NACK,1f
30,4,10,0,NA,SILENT,NA
30,5,1,1,79,ACK,79
30,5,2,0,NA,SILENT,NA
30,5,3,1,1f,NACK,1f
30,5,4,0,NA,SILENT,NA
30,5,5,1,1f,NACK,1f
30,5,6,0,NA,SILENT,NA
30,5,7,1,1f,NACK,1f
30,5,8,0,NA,SILENT,NA
30,5,9,1,1f,NACK,1f
30,5,10,0,NA,SILENT,NA
50,1,1,1,1f,NACK,1f
50,1,2,0,NA,SILENT,NA
50,1,3,1,1f,NACK,1f
50,1,4,0,NA,SILENT,NA
50,1,5,1,1f,NACK,1f
50,1,6,0,NA,SILENT,NA
50,1,7,1,1f,NACK,1f
50,1,8,0,NA,SILENT,NA
50,1,9,1,1f,NACK,1f
50,1,10,0,NA,SILENT,NA
50,2,1,1,1f,NACK,1f
50,2,2,0,NA,SILENT,NA
50,2,3,1,1f,NACK,1f
50,2,4,0,NA,SILENT,NA
50,2,5,1,1f,NACK,1f
50,2,6,0,NA,SILENT,NA
50,2,7,1,1f,NACK,1f
50,2,8,0,NA,SILENT,NA
50,2,9,1,1f,NACK,1f
50,2,10,0,NA,SILENT,NA
50,3,1,1,1f,NACK,1f
50,3,2,0,NA,SILENT,NA
50,3,3,1,1f,NACK,1f
50,3,4,0,NA,SILENT,NA
50,3,5,1,1f,NACK,1f
50,3,6,0,NA,SILENT,NA
50,3,7,1,1f,NACK,1f
50,3,8,0,NA,SILENT,NA
50,3,9,1,1f,NACK,1f
50,3,10,0,NA,SILENT,NA
50,4,1,1,79,ACK,79
50,4,2,0,NA,SILENT,NA
50,4,3,1,1f,NACK,1f
50,4,4,0,NA,SILENT,NA
50,4,5,1,1f,NACK,1f
50,4,6,0,NA,SILENT,NA
50,4,7,1,1f,NACK,1f
50,4,8,0,NA,SILENT,NA
50,4,9,1,1f,NACK,1f
50,4,10,0,NA,SILENT,NA
50,5,1,1,1f,NACK,1f
50,5,2,0,NA,SILENT,NA
50,5,3,1,1f,NACK,1f
50,5,4,0,NA,SILENT,NA
50,5,5,1,1f,NACK,1f
50,5,6,0,NA,SILENT,NA
50,5,7,1,1f,NACK,1f
50,5,8,0,NA,SILENT,NA
50,5,9,1,1f,NACK,1f
50,5,10,0,NA,SILENT,NA
