# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: d4dfcb86cfd99bbcbd227844940a1f905336b356
# firmware_git_sha_short: d4dfcb86cfd9
# build_timestamp_utc: 2026-05-20T07:47:11Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

delay_ms,attempt,resp_size,first_byte,result_class,hex_prefix
50,1,1,79,ACK,79
50,2,0,NA,SILENT,NA
50,3,1,1f,NACK,1f
50,4,0,NA,SILENT,NA
50,5,1,1f,NACK,1f
100,1,0,NA,SILENT,NA
100,2,1,1f,NACK,1f
100,3,0,NA,SILENT,NA
100,4,1,1f,NACK,1f
100,5,0,NA,SILENT,NA
200,1,1,1f,NACK,1f
200,2,0,NA,SILENT,NA
200,3,1,1f,NACK,1f
200,4,0,NA,SILENT,NA
200,5,1,1f,NACK,1f
400,1,0,NA,SILENT,NA
400,2,0,NA,SILENT,NA
400,3,0,NA,SILENT,NA
400,4,0,NA,SILENT,NA
400,5,0,NA,SILENT,NA
