=== W2-02 TX: 344 fragments, uart=/dev/ttymxc3 ===
CFG_OK_URC: LBT_ENABLE=0
__W2_02_TX_READY__ n_fragments=344
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=0 tx_id=0x00 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0000ab2001000c0820ffffffffffffffffffffffff41524946463a00000057454250565038202e000000f002009d012a200020003f016eae4f2b26a4223008
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=1 tx_id=0x01 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0000ab2101000c0820ffffffffffffffffffffffff41524946463a00000057454250565038202e000000f002009d012a200020003f016eae4f2b26a4223008
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=2 tx_id=0x02 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0001ab20016020096900007bc6000000feefea834ba9da8debd400000075524946466e0000005745425056503820620000009004009d012a200020003ee160
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=3 tx_id=0x03 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0001ab21016020096900007bc6000000feefea834ba9da8debd400000075524946466e0000005745425056503820620000009004009d012a200020003ee160
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=4 tx_id=0x04 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0002ab20a64ea8a623a237e801101c096300c0dc3250a08e2ad94d59fd4a4a8175f2f40000fef1c27203ac6c1302553ecf876c22b88d7d991ccab89b3028f9
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=5 tx_id=0x05 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0002ab21a64ea8a623a237e801101c096300c0dc3250a08e2ad94d59fd4a4a8175f2f40000fef1c27203ac6c1302553ecf876c22b88d7d991ccab89b3028f9
INFO: unrelated frame during TX wait type=0xC0
