Starting synthetic camera publisher (broker=127.0.0.1, fps=20.0, duration=130.0s, budget=250B)...

[000] Publishing synthetic frame of size 252 bytes...

[001] Publishing synthetic frame of size 246 bytes...

[002] Publishing synthetic frame of size 246 bytes...

[003] Publishing synthetic frame of size 244 bytes...

[004] Publishing synthetic frame of size 246 bytes...

[005] Publishing synthetic frame of size 246 bytes...

[006] Publishing synthetic frame of size 250 bytes...

[007] Publishing synthetic frame of size 248 bytes...

[008] Publishing synthetic frame of size 248 bytes...

[009] Publishing synthetic frame of size 240 bytes...

[010] Publishing synthetic frame of size 246 bytes...

[011] Publishing synthetic frame of size 244 bytes...

[012] Publishing synthetic frame of size 248 bytes...

[013] Publishing synthetic frame of size 242 bytes...

[014] Publishing synthetic frame of size 240 bytes...

[015] Publishing synthetic frame of size 242 bytes...

[016] Publishing synthetic frame of size 244 bytes...

[017] Publishing synthetic frame of size 242 bytes...

[018] Publishing synthetic frame of size 244 bytes...

[019] Publishing synthetic frame of size 240 bytes...

[020] Publishing synthetic frame of size 244 bytes...

[021] Publishing synthetic frame of size 240 bytes...

[022] Publishing synthetic frame of size 242 bytes...

[023] Publishing synthetic frame of size 242 bytes...

[024] Publishing synthetic frame of size 244 bytes...

[025] Publishing synthetic frame of size 230 bytes...

[026] Publishing synthetic frame of size 244 bytes...

[027] Publishing synthetic frame of size 242 bytes...

[028] Publishing synthetic frame of size 226 bytes...

[029] Publishing synthetic frame of size 234 bytes...

[030] Publishing synthetic frame of size 244 bytes...

[031] Publishing synthetic frame of size 240 bytes...

[032] Publishing synthetic frame of size 244 bytes...

[033] Publishing synthetic frame of size 256 bytes...

[034] Publishing synthetic frame of size 262 bytes...

[035] Publishing synthetic frame of size 262 bytes...

[036] Publishing synthetic frame of size 268 bytes...

[037] Publishing synthetic frame of size 131 bytes...

[038] Publishing synthetic frame of size 133 bytes...

[039] Publishing synthetic frame of size 131 bytes...

[040] Publishing synthetic frame of size 131 bytes...

[041] Publishing synthetic frame of size 129 bytes...

[042] Publishing synthetic frame of size 131 bytes...

[043] Publishing synthetic frame of size 131 bytes...

[044] Publishing synthetic frame of size 131 bytes...

[045] Publishing synthetic frame of size 129 bytes...

[046] Publishing synthetic frame of size 127 bytes...

[047] Publishing synthetic frame of size 129 bytes...

[048] Publishing synthetic frame of size 127 bytes...

[049] Publishing synthetic frame of size 127 bytes...

[050] Publishing synthetic frame of size 127 bytes...

[051] Publishing synthetic frame of size 127 bytes...

[052] Publishing synthetic frame of size 127 bytes...

[053] Publishing synthetic frame of size 127 bytes...

[054] Publishing synthetic frame of size 127 bytes...

[055] Publishing synthetic frame of size 129 bytes...

[056] Publishing synthetic frame of size 127 bytes...

[057] Publishing synthetic frame of size 115 bytes...

[058] Publishing synthetic frame of size 129 bytes...

[059] Publishing synthetic frame of size 127 bytes...

[060] Publishing synthetic frame of size 115 bytes...

[061] Publishing synthetic frame of size 117 bytes...

[062] Publishing synthetic frame of size 129 bytes...

[063] Publishing synthetic frame of size 125 bytes...

[064] Publishing synthetic frame of size 129 bytes...

[065] Publishing synthetic frame of size 141 bytes...

[066] Publishing synthetic frame of size 151 bytes...

[067] Publishing synthetic frame of size 149 bytes...

[068] Publishing synthetic frame of size 155 bytes...

[069] Publishing synthetic frame of size 163 bytes...

[070] Publishing synthetic frame of size 163 bytes...

[071] Publishing synthetic frame of size 161 bytes...

[072] Publishing synthetic frame of size 163 bytes...

[073] Publishing synthetic frame of size 175 bytes...

[074] Publishing synthetic frame of size 185 bytes...

[075] Publishing synthetic frame of size 179 bytes...

[076] Publishing synthetic frame of size 183 bytes...

[077] Publishing synthetic frame of size 193 bytes...

[078] Publishing synthetic frame of size 193 bytes...

[079] Publishing synthetic frame of size 187 bytes...

[080] Publishing synthetic frame of size 185 bytes...

[081] Publishing synthetic frame of size 209 bytes...

[082] Publishing synthetic frame of size 229 bytes...

[083] Publishing synthetic frame of size 227 bytes...

[084] Publishing synthetic frame of size 233 bytes...

[085] Publishing synthetic frame of size 251 bytes...

[086] Publishing synthetic frame of size 247 bytes...

[087] Publishing synthetic frame of size 227 bytes...

[088] Publishing synthetic frame of size 223 bytes...

[089] Publishing synthetic frame of size 243 bytes...

[090] Publishing synthetic frame of size 275 bytes...

[091] Publishing synthetic frame of size 247 bytes...

[092] Publishing synthetic frame of size 255 bytes...

[093] Publishing synthetic frame of size 271 bytes...

[094] Publishing synthetic frame of size 259 bytes...

[095] Publishing synthetic frame of size 247 bytes...

[096] Publishing synthetic frame of size 229 bytes...

[097] Publishing synthetic frame of size 261 bytes...

[098] Publishing synthetic frame of size 275 bytes...

[099] Publishing synthetic frame of size 253 bytes...

[100] Publishing synthetic frame of size 255 bytes...

[101] Publishing synthetic frame of size 273 bytes...

[102] Publishing synthetic frame of size 247 bytes...

[103] Publishing synthetic frame of size 233 bytes...

[104] Publishing synthetic frame of size 223 bytes...

[105] Publishing synthetic frame of size 241 bytes...

[106] Publishing synthetic frame of size 245 bytes...

[107] Publishing synthetic frame of size 227 bytes...

[108] Publishing synthetic frame of size 221 bytes...

[109] Publishing synthetic frame of size 219 bytes...

[110] Publishing synthetic frame of size 205 bytes...

[111] Publishing synthetic frame of size 181 bytes...

