# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: d4dfcb86cfd99bbcbd227844940a1f905336b356
# firmware_git_sha_short: d4dfcb86cfd9
# build_timestamp_utc: 2026-05-20T07:50:34Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

step_idx,power_dbm_requested,tx_attempted,tx_done_ok,tx_aborted_airtime,rx_received,per_pct,rssi_min,rssi_mean,rssi_max,snr_min,snr_mean,snr_max
0,2,200,200,0,198,1.00,-120,-118.9,-117,-8,-6.6,-6
1,3,200,200,0,198,1.00,-120,-118.7,-118,-7,-5.6,-5
2,4,200,200,0,194,3.00,-119,-118.3,-117,-5,-4.6,-4
3,5,200,200,0,197,1.50,-120,-118.1,-117,-5,-3.7,-3
4,6,200,200,0,197,1.50,-119,-118.1,-117,-5,-3.2,-1
5,7,200,200,0,198,1.00,-119,-117.6,-116,-3,-2.0,-1
6,8,200,200,0,197,1.50,-119,-117.1,-115,-4,-1.1,0
7,9,200,200,0,196,2.00,-118,-116.6,-115,-1,-0.1,0
8,10,200,200,0,198,1.00,-117,-116.0,-115,0,0.1,1
9,11,200,200,0,198,1.00,-116,-115.1,-114,0,1.1,2
10,12,200,200,0,198,1.00,-116,-114.4,-113,1,1.8,3
11,13,200,200,0,196,2.00,-115,-114.0,-112,1,2.1,3
12,14,200,200,0,199,0.50,-115,-113.1,-111,2,2.9,4
13,15,200,200,0,198,1.00,-114,-112.3,-111,1,3.4,4
14,16,200,200,0,200,0.00,-113,-111.5,-110,3,4.2,5
15,17,200,200,0,199,0.50,-113,-111.2,-109,4,4.5,6
