timestamp_iso,step_idx,power_dbm_requested,power_dbm_echoed_first,count_sent,tx_done_ok,tx_done_fail,tx_timeout,radio_tx_ok_delta,radio_tx_abort_lbt_delta,radio_tx_abort_airtime_delta,mean_toa_us,tx_per_pct,rx_per_pct,rx_rssi_dbm_mean,rx_snr_db_mean,rx_crc_err_count
2026-05-22T01:42:27,0,2,2,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:42:32,1,3,3,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:42:37,2,4,4,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:42:41,3,5,5,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:42:46,4,6,6,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:42:51,5,7,7,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:42:55,6,8,8,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:43:00,7,9,9,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:43:05,8,10,10,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:43:09,9,11,11,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:43:14,10,12,12,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:43:19,11,13,13,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:43:23,12,14,14,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:43:28,13,15,15,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:43:33,14,16,16,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:43:37,15,17,17,50,50,0,0,50,0,0,25728.000,0.000,,,,
