Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=79.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
INFO: drained type=0xA0 seq=2 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=2442 radio_crc_err=11 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=1 rssi=-120 snr=-4 len=17 timestamp_us=3118468022 payload_hex=5750207330302070303220693030303020
__RX_FRAME__ idx=2 rssi=-119 snr=-4 len=17 timestamp_us=3118563588 payload_hex=5750207330302070303220693030303120
__RX_FRAME__ idx=3 rssi=-118 snr=-5 len=17 timestamp_us=3118659334 payload_hex=5750207330302070303220693030303220
__RX_FRAME__ idx=4 rssi=-118 snr=-5 len=17 timestamp_us=3118755597 payload_hex=5750207330302070303220693030303320
__RX_FRAME__ idx=5 rssi=-119 snr=-4 len=17 timestamp_us=3118845139 payload_hex=5750207330302070303220693030303420
__RX_FRAME__ idx=6 rssi=-118 snr=-5 len=17 timestamp_us=3118936185 payload_hex=5750207330302070303220693030303520
__RX_FRAME__ idx=7 rssi=-118 snr=-4 len=17 timestamp_us=3119031549 payload_hex=5750207330302070303220693030303620
__RX_FRAME__ idx=8 rssi=-119 snr=-4 len=17 timestamp_us=3119126480 payload_hex=5750207330302070303220693030303720
__RX_FRAME__ idx=9 rssi=-118 snr=-5 len=17 timestamp_us=3119218295 payload_hex=5750207330302070303220693030303820
__RX_FRAME__ idx=10 rssi=-119 snr=-4 len=17 timestamp_us=3119312669 payload_hex=5750207330302070303220693030303920
__RX_FRAME__ idx=11 rssi=-119 snr=-5 len=17 timestamp_us=3119401424 payload_hex=5750207330302070303220693030313020
__RX_FRAME__ idx=12 rssi=-119 snr=-4 len=17 timestamp_us=3119496532 payload_hex=5750207330302070303220693030313120
__RX_FRAME__ idx=13 rssi=-118 snr=-4 len=17 timestamp_us=3119592865 payload_hex=5750207330302070303220693030313220
__RX_FRAME__ idx=14 rssi=-118 snr=-4 len=17 timestamp_us=3119692406 payload_hex=5750207330302070303220693030313320
__RX_FRAME__ idx=15 rssi=-118 snr=-5 len=17 timestamp_us=3119783047 payload_hex=5750207330302070303220693030313420
__RX_FRAME__ idx=16 rssi=-118 snr=-5 len=17 timestamp_us=3119871334 payload_hex=5750207330302070303220693030313520
__RX_FRAME__ idx=17 rssi=-118 snr=-4 len=17 timestamp_us=3119962200 payload_hex=5750207330302070303220693030313620
__RX_FRAME__ idx=18 rssi=-119 snr=-4 len=17 timestamp_us=3120057187 payload_hex=5750207330302070303220693030313720
__RX_FRAME__ idx=19 rssi=-119 snr=-5 len=17 timestamp_us=3120153077 payload_hex=5750207330302070303220693030313820
__RX_FRAME__ idx=20 rssi=-118 snr=-5 len=17 timestamp_us=3120245466 payload_hex=5750207330302070303220693030313920
__RX_FRAME__ idx=21 rssi=-118 snr=-5 len=17 timestamp_us=3120333919 payload_hex=5750207330302070303220693030323020
__RX_FRAME__ idx=22 rssi=-118 snr=-5 len=17 timestamp_us=3120430087 payload_hex=5750207330302070303220693030323120
__RX_FRAME__ idx=23 rssi=-119 snr=-4 len=17 timestamp_us=3120525283 payload_hex=5750207330302070303220693030323220
__RX_FRAME__ idx=24 rssi=-118 snr=-5 len=17 timestamp_us=3120618262 payload_hex=5750207330302070303220693030323320
__RX_FRAME__ idx=25 rssi=-118 snr=-4 len=17 timestamp_us=3120708934 payload_hex=5750207330302070303220693030323420
__RX_FRAME__ idx=26 rssi=-118 snr=-5 len=17 timestamp_us=3120805309 payload_hex=5750207330302070303220693030323520
__RX_FRAME__ idx=27 rssi=-119 snr=-4 len=17 timestamp_us=3120894979 payload_hex=5750207330302070303220693030323620
__RX_FRAME__ idx=28 rssi=-118 snr=-5 len=17 timestamp_us=3120990057 payload_hex=5750207330302070303220693030323720
__RX_FRAME__ idx=29 rssi=-118 snr=-5 len=17 timestamp_us=3121086372 payload_hex=5750207330302070303220693030323820
__RX_FRAME__ idx=30 rssi=-119 snr=-4 len=17 timestamp_us=3121175124 payload_hex=5750207330302070303220693030323920
__RX_FRAME__ idx=31 rssi=-118 snr=-4 len=17 timestamp_us=3121270639 payload_hex=5750207330302070303220693030333020
__RX_FRAME__ idx=32 rssi=-118 snr=-4 len=17 timestamp_us=3121367383 payload_hex=5750207330302070303220693030333120
__RX_FRAME__ idx=33 rssi=-118 snr=-5 len=17 timestamp_us=3121463819 payload_hex=5750207330302070303220693030333220
__RX_FRAME__ idx=34 rssi=-118 snr=-4 len=17 timestamp_us=3121556480 payload_hex=5750207330302070303220693030333320
__RX_FRAME__ idx=35 rssi=-118 snr=-4 len=17 timestamp_us=3121648038 payload_hex=5750207330302070303220693030333420
__RX_FRAME__ idx=36 rssi=-119 snr=-5 len=17 timestamp_us=3121739616 payload_hex=5750207330302070303220693030333520
__RX_FRAME__ idx=37 rssi=-118 snr=-5 len=17 timestamp_us=3121831495 payload_hex=5750207330302070303220693030333620
__RX_FRAME__ idx=38 rssi=-118 snr=-5 len=17 timestamp_us=3121922683 payload_hex=5750207330302070303220693030333720
__RX_FRAME__ idx=39 rssi=-118 snr=-4 len=17 timestamp_us=3122018166 payload_hex=5750207330302070303220693030333820
__RX_FRAME__ idx=40 rssi=-118 snr=-4 len=17 timestamp_us=3122113183 payload_hex=5750207330302070303220693030333920
__RX_FRAME__ idx=41 rssi=-118 snr=-5 len=17 timestamp_us=3122208187 payload_hex=5750207330302070303220693030343020
__RX_FRAME__ idx=42 rssi=-119 snr=-4 len=17 timestamp_us=3122304362 payload_hex=5750207330302070303220693030343120
__RX_FRAME__ idx=43 rssi=-118 snr=-4 len=17 timestamp_us=3122404002 payload_hex=5750207330302070303220693030343220
__RX_FRAME__ idx=44 rssi=-118 snr=-4 len=17 timestamp_us=3122495703 payload_hex=5750207330302070303220693030343320
__RX_FRAME__ idx=45 rssi=-118 snr=-4 len=17 timestamp_us=3122584316 payload_hex=5750207330302070303220693030343420
__RX_FRAME__ idx=46 rssi=-118 snr=-4 len=17 timestamp_us=3122679446 payload_hex=5750207330302070303220693030343520
__RX_FRAME__ idx=47 rssi=-119 snr=-4 len=17 timestamp_us=3122772311 payload_hex=5750207330302070303220693030343620
__RX_FRAME__ idx=48 rssi=-119 snr=-5 len=17 timestamp_us=3122863731 payload_hex=5750207330302070303220693030343720
__RX_FRAME__ idx=49 rssi=-117 snr=-5 len=17 timestamp_us=3122960299 payload_hex=5750207330302070303220693030343820
