Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=79.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
INFO: drained type=0xA0 seq=2 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=3213 radio_crc_err=14 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=1 rssi=-118 snr=-5 len=17 timestamp_us=3207034674 payload_hex=5750207330302070303220693030303020
__RX_FRAME__ idx=2 rssi=-119 snr=-5 len=17 timestamp_us=3207137889 payload_hex=5750207330302070303220693030303120
__RX_FRAME__ idx=3 rssi=-119 snr=-5 len=17 timestamp_us=3207230090 payload_hex=5750207330302070303220693030303220
__RX_FRAME__ idx=4 rssi=-118 snr=-4 len=17 timestamp_us=3207332320 payload_hex=5750207330302070303220693030303320
__RX_FRAME__ idx=5 rssi=-118 snr=-5 len=17 timestamp_us=3207432531 payload_hex=5750207330302070303220693030303420
__RX_FRAME__ idx=6 rssi=-118 snr=-5 len=17 timestamp_us=3207536739 payload_hex=5750207330302070303220693030303520
__RX_FRAME__ idx=7 rssi=-118 snr=-4 len=17 timestamp_us=3207638929 payload_hex=5750207330302070303220693030303620
__RX_FRAME__ idx=8 rssi=-118 snr=-4 len=17 timestamp_us=3207731083 payload_hex=5750207330302070303220693030303720
__RX_FRAME__ idx=9 rssi=-118 snr=-4 len=17 timestamp_us=3207831273 payload_hex=5750207330302070303220693030303820
__RX_FRAME__ idx=10 rssi=-118 snr=-5 len=17 timestamp_us=3207940505 payload_hex=5750207330302070303220693030303920
__RX_FRAME__ idx=11 rssi=-118 snr=-4 len=17 timestamp_us=3208045699 payload_hex=5750207330302070303220693030313020
__RX_FRAME__ idx=12 rssi=-119 snr=-5 len=17 timestamp_us=3208149888 payload_hex=5750207330302070303220693030313120
__RX_FRAME__ idx=13 rssi=-118 snr=-5 len=17 timestamp_us=3208257084 payload_hex=5750207330302070303220693030313220
__RX_FRAME__ idx=14 rssi=-118 snr=-4 len=17 timestamp_us=3208364274 payload_hex=5750207330302070303220693030313320
__RX_FRAME__ idx=15 rssi=-118 snr=-5 len=17 timestamp_us=3208467430 payload_hex=5750207330302070303220693030313420
__RX_FRAME__ idx=16 rssi=-119 snr=-5 len=17 timestamp_us=3208558590 payload_hex=5750207330302070303220693030313520
__RX_FRAME__ idx=17 rssi=-119 snr=-4 len=17 timestamp_us=3208654764 payload_hex=5750207330302070303220693030313620
__RX_FRAME__ idx=18 rssi=-118 snr=-5 len=17 timestamp_us=3208758936 payload_hex=5750207330302070303220693030313720
__RX_FRAME__ idx=19 rssi=-118 snr=-4 len=17 timestamp_us=3208856090 payload_hex=5750207330302070303220693030313820
__RX_FRAME__ idx=20 rssi=-118 snr=-4 len=17 timestamp_us=3208953231 payload_hex=5750207330302070303220693030313920
__RX_FRAME__ idx=21 rssi=-118 snr=-4 len=17 timestamp_us=3209044375 payload_hex=5750207330302070303220693030323020
__RX_FRAME__ idx=22 rssi=-119 snr=-4 len=17 timestamp_us=3209152584 payload_hex=5750207330302070303220693030323120
__RX_FRAME__ idx=23 rssi=-119 snr=-5 len=17 timestamp_us=3209255791 payload_hex=5750207330302070303220693030323220
__RX_FRAME__ idx=24 rssi=-117 snr=-5 len=17 timestamp_us=3209363025 payload_hex=5750207330302070303220693030323320
__RX_FRAME__ idx=25 rssi=-118 snr=-5 len=17 timestamp_us=3209470226 payload_hex=5750207330302070303220693030323420
__RX_FRAME__ idx=26 rssi=-118 snr=-4 len=17 timestamp_us=3209576436 payload_hex=5750207330302070303220693030323520
__RX_FRAME__ idx=27 rssi=-118 snr=-5 len=17 timestamp_us=3209683633 payload_hex=5750207330302070303220693030323620
__RX_FRAME__ idx=28 rssi=-119 snr=-5 len=17 timestamp_us=3209787794 payload_hex=5750207330302070303220693030323720
__RX_FRAME__ idx=29 rssi=-118 snr=-5 len=17 timestamp_us=3209881961 payload_hex=5750207330302070303220693030323820
__RX_FRAME__ idx=30 rssi=-118 snr=-4 len=17 timestamp_us=3209985158 payload_hex=5750207330302070303220693030323920
__RX_FRAME__ idx=31 rssi=-119 snr=-5 len=17 timestamp_us=3210090336 payload_hex=5750207330302070303220693030333020
__RX_FRAME__ idx=32 rssi=-118 snr=-4 len=17 timestamp_us=3210204507 payload_hex=5750207330302070303220693030333120
__RX_FRAME__ idx=33 rssi=-119 snr=-4 len=17 timestamp_us=3210310710 payload_hex=5750207330302070303220693030333220
__RX_FRAME__ idx=34 rssi=-119 snr=-5 len=17 timestamp_us=3210417928 payload_hex=5750207330302070303220693030333320
__RX_FRAME__ idx=35 rssi=-118 snr=-4 len=17 timestamp_us=3210524090 payload_hex=5750207330302070303220693030333420
__RX_FRAME__ idx=36 rssi=-119 snr=-5 len=17 timestamp_us=3210631295 payload_hex=5750207330302070303220693030333520
__RX_FRAME__ idx=37 rssi=-119 snr=-5 len=17 timestamp_us=3210738492 payload_hex=5750207330302070303220693030333620
__RX_FRAME__ idx=38 rssi=-119 snr=-4 len=17 timestamp_us=3210839662 payload_hex=5750207330302070303220693030333720
__RX_FRAME__ idx=39 rssi=-118 snr=-4 len=17 timestamp_us=3210936833 payload_hex=5750207330302070303220693030333820
__RX_FRAME__ idx=40 rssi=-118 snr=-5 len=17 timestamp_us=3211046024 payload_hex=5750207330302070303220693030333920
__RX_FRAME__ idx=41 rssi=-118 snr=-4 len=17 timestamp_us=3211153180 payload_hex=5750207330302070303220693030343020
__RX_FRAME__ idx=42 rssi=-120 snr=-4 len=17 timestamp_us=3211260350 payload_hex=5750207330302070303220693030343120
__RX_FRAME__ idx=43 rssi=-119 snr=-4 len=17 timestamp_us=3211367521 payload_hex=5750207330302070303220693030343220
__RX_FRAME__ idx=44 rssi=-119 snr=-4 len=17 timestamp_us=3211470681 payload_hex=5750207330302070303220693030343320
__RX_FRAME__ idx=45 rssi=-119 snr=-5 len=17 timestamp_us=3211571868 payload_hex=5750207330302070303220693030343420
__RX_FRAME__ idx=46 rssi=-119 snr=-5 len=17 timestamp_us=3211669054 payload_hex=5750207330302070303220693030343520
__RX_FRAME__ idx=47 rssi=-118 snr=-4 len=17 timestamp_us=3211775226 payload_hex=5750207330302070303220693030343620
__RX_FRAME__ idx=48 rssi=-118 snr=-4 len=17 timestamp_us=3211882393 payload_hex=5750207330302070303220693030343720
__RX_FRAME__ idx=49 rssi=-118 snr=-5 len=17 timestamp_us=3211985591 payload_hex=5750207330302070303220693030343820
