Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=55.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
INFO: drained type=0xA0 seq=2 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=3906 radio_crc_err=16 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=1 rssi=-118 snr=-4 len=17 timestamp_us=3303400193 payload_hex=5750207330302070303220693030303020
__RX_FRAME__ idx=2 rssi=-119 snr=-5 len=17 timestamp_us=3303453921 payload_hex=5750207330302070303220693030303120
__RX_FRAME__ idx=3 rssi=-118 snr=-4 len=17 timestamp_us=3303516607 payload_hex=5750207330302070303220693030303220
__RX_FRAME__ idx=4 rssi=-119 snr=-4 len=17 timestamp_us=3303581006 payload_hex=5750207330302070303220693030303320
__RX_FRAME__ idx=5 rssi=-118 snr=-4 len=17 timestamp_us=3303646687 payload_hex=5750207330302070303220693030303420
__RX_FRAME__ idx=6 rssi=-118 snr=-4 len=17 timestamp_us=3303707874 payload_hex=5750207330302070303220693030303520
__RX_FRAME__ idx=7 rssi=-118 snr=-5 len=17 timestamp_us=3303773147 payload_hex=5750207330302070303220693030303620
__RX_FRAME__ idx=8 rssi=-119 snr=-5 len=17 timestamp_us=3303833600 payload_hex=5750207330302070303220693030303720
__RX_FRAME__ idx=9 rssi=-118 snr=-4 len=17 timestamp_us=3303894722 payload_hex=5750207330302070303220693030303820
__RX_FRAME__ idx=10 rssi=-119 snr=-5 len=17 timestamp_us=3303955653 payload_hex=5750207330302070303220693030303920
__RX_FRAME__ idx=11 rssi=-118 snr=-5 len=17 timestamp_us=3304016956 payload_hex=5750207330302070303220693030313020
__RX_FRAME__ idx=12 rssi=-118 snr=-4 len=17 timestamp_us=3304075789 payload_hex=5750207330302070303220693030313120
__RX_FRAME__ idx=13 rssi=-119 snr=-4 len=17 timestamp_us=3304140607 payload_hex=5750207330302070303220693030313220
__RX_FRAME__ idx=14 rssi=-118 snr=-5 len=17 timestamp_us=3304199824 payload_hex=5750207330302070303220693030313320
__RX_FRAME__ idx=15 rssi=-118 snr=-4 len=17 timestamp_us=3304259292 payload_hex=5750207330302070303220693030313420
__RX_FRAME__ idx=16 rssi=-119 snr=-4 len=17 timestamp_us=3304430468 payload_hex=5750207330302070303220693030313820
__RX_FRAME__ idx=17 rssi=-118 snr=-4 len=17 timestamp_us=3304495192 payload_hex=5750207330302070303220693030313920
__RX_FRAME__ idx=18 rssi=-118 snr=-4 len=17 timestamp_us=3304560720 payload_hex=5750207330302070303220693030323020
__RX_FRAME__ idx=19 rssi=-118 snr=-4 len=17 timestamp_us=3304626234 payload_hex=5750207330302070303220693030323120
__RX_FRAME__ idx=20 rssi=-119 snr=-4 len=17 timestamp_us=3304686234 payload_hex=5750207330302070303220693030323220
__RX_FRAME__ idx=21 rssi=-118 snr=-4 len=17 timestamp_us=3304747253 payload_hex=5750207330302070303220693030323320
__RX_FRAME__ idx=22 rssi=-119 snr=-4 len=17 timestamp_us=3304808270 payload_hex=5750207330302070303220693030323420
__RX_FRAME__ idx=23 rssi=-118 snr=-4 len=17 timestamp_us=3304873569 payload_hex=5750207330302070303220693030323520
__RX_FRAME__ idx=24 rssi=-119 snr=-4 len=17 timestamp_us=3304934668 payload_hex=5750207330302070303220693030323620
__RX_FRAME__ idx=25 rssi=-119 snr=-5 len=17 timestamp_us=3304993195 payload_hex=5750207330302070303220693030323720
__RX_FRAME__ idx=26 rssi=-119 snr=-4 len=17 timestamp_us=3305052846 payload_hex=5750207330302070303220693030323820
__RX_FRAME__ idx=27 rssi=-119 snr=-4 len=17 timestamp_us=3305114089 payload_hex=5750207330302070303220693030323920
__RX_FRAME__ idx=28 rssi=-118 snr=-4 len=17 timestamp_us=3305172728 payload_hex=5750207330302070303220693030333020
__RX_FRAME__ idx=29 rssi=-119 snr=-4 len=17 timestamp_us=3305237930 payload_hex=5750207330302070303220693030333120
__RX_FRAME__ idx=30 rssi=-119 snr=-4 len=17 timestamp_us=3305297858 payload_hex=5750207330302070303220693030333220
__RX_FRAME__ idx=31 rssi=-118 snr=-5 len=17 timestamp_us=3305459796 payload_hex=5750207330302070303220693030333620
__RX_FRAME__ idx=32 rssi=-119 snr=-5 len=17 timestamp_us=3305524968 payload_hex=5750207330302070303220693030333720
__RX_FRAME__ idx=33 rssi=-118 snr=-5 len=17 timestamp_us=3305584673 payload_hex=5750207330302070303220693030333820
__RX_FRAME__ idx=34 rssi=-119 snr=-5 len=17 timestamp_us=3305649539 payload_hex=5750207330302070303220693030333920
__RX_FRAME__ idx=35 rssi=-119 snr=-5 len=17 timestamp_us=3305709656 payload_hex=5750207330302070303220693030343020
__RX_FRAME__ idx=36 rssi=-119 snr=-4 len=17 timestamp_us=3305770954 payload_hex=5750207330302070303220693030343120
__RX_FRAME__ idx=37 rssi=-119 snr=-4 len=17 timestamp_us=3305831902 payload_hex=5750207330302070303220693030343220
__RX_FRAME__ idx=38 rssi=-118 snr=-5 len=17 timestamp_us=3305891208 payload_hex=5750207330302070303220693030343320
__RX_FRAME__ idx=39 rssi=-118 snr=-5 len=17 timestamp_us=3305950691 payload_hex=5750207330302070303220693030343420
__RX_FRAME__ idx=40 rssi=-118 snr=-4 len=17 timestamp_us=3306009274 payload_hex=5750207330302070303220693030343520
__RX_FRAME__ idx=41 rssi=-118 snr=-5 len=17 timestamp_us=3306069241 payload_hex=5750207330302070303220693030343620
__RX_FRAME__ idx=42 rssi=-119 snr=-4 len=17 timestamp_us=3306130372 payload_hex=5750207330302070303220693030343720
__RX_FRAME__ idx=43 rssi=-118 snr=-5 len=17 timestamp_us=3306195292 payload_hex=5750207330302070303220693030343820
__RX_FRAME__ idx=44 rssi=-118 snr=-4 len=17 timestamp_us=3306254497 payload_hex=5750207330302070303220693030343920
__RX_FRAME__ idx=45 rssi=-119 snr=-4 len=17 timestamp_us=3306376015 payload_hex=5750207330312070303320693030303020
__RX_FRAME__ idx=46 rssi=-118 snr=-4 len=17 timestamp_us=3306475771 payload_hex=5750207330312070303320693030303220
__RX_FRAME__ idx=47 rssi=-118 snr=-4 len=17 timestamp_us=3306540639 payload_hex=5750207330312070303320693030303320
__RX_FRAME__ idx=48 rssi=-118 snr=-4 len=17 timestamp_us=3306600253 payload_hex=5750207330312070303320693030303420
__RX_FRAME__ idx=49 rssi=-118 snr=-4 len=17 timestamp_us=3306659190 payload_hex=5750207330312070303320693030303520
