timestamp_iso,step_idx,power_dbm_requested,power_dbm_echoed_first,count_sent,tx_done_ok,tx_done_fail,tx_timeout,radio_tx_ok_delta,radio_tx_abort_lbt_delta,radio_tx_abort_airtime_delta,mean_toa_us,tx_per_pct,rx_per_pct,rx_rssi_dbm_mean,rx_snr_db_mean,rx_crc_err_count
2026-05-22T01:47:29,0,2,2,50,44,0,6,44,0,6,25728.000,12.000,,,,
2026-05-22T01:47:32,1,3,3,50,44,0,6,44,0,6,25728.000,12.000,,,,
2026-05-22T01:47:35,2,4,4,50,44,0,6,44,0,6,25728.000,12.000,,,,
2026-05-22T01:47:37,3,5,5,50,42,0,8,42,0,8,25728.000,16.000,,,,
2026-05-22T01:47:40,4,6,6,50,44,0,6,44,0,6,25728.000,12.000,,,,
2026-05-22T01:47:43,5,7,7,50,44,0,6,44,0,6,25728.000,12.000,,,,
2026-05-22T01:47:46,6,8,8,50,43,0,7,43,0,7,25728.000,14.000,,,,
2026-05-22T01:47:49,7,9,9,50,42,0,8,42,0,8,25728.000,16.000,,,,
2026-05-22T01:47:52,8,10,10,50,43,0,7,43,0,7,25728.000,14.000,,,,
2026-05-22T01:47:55,9,11,11,50,44,0,6,44,0,6,25728.000,12.000,,,,
2026-05-22T01:47:58,10,12,12,50,44,0,6,44,0,6,25728.000,12.000,,,,
2026-05-22T01:48:01,11,13,13,50,43,0,7,43,0,7,25728.000,14.000,,,,
2026-05-22T01:48:04,12,14,14,50,43,0,7,43,0,7,25728.000,14.000,,,,
2026-05-22T01:48:07,13,15,15,50,42,0,8,42,0,8,25728.000,16.000,,,,
2026-05-22T01:48:10,14,16,16,50,44,0,6,44,0,6,25728.000,12.000,,,,
2026-05-22T01:48:13,15,17,17,50,43,0,7,43,0,7,25728.000,14.000,,,,
