step_idx,power_dbm_requested,packet_idx_in_step,tx_id,send_ts_ns,done_ts_ns,elapsed_us,outcome,status_code,toa_us,lbt_enabled,inter_cycle_s,cfg_set_age_ms,host_loop_iter_us,python_rss_kb
0,2,0,0x00,270941322417875,270941355065625,32647,ok,0,25728,0,0.0200,13,0,0
0,2,1,0x01,270941375540375,270941414965250,39424,ok,0,25728,0,0.0200,66,53122,0
0,2,2,0x02,270941435577250,270941475397125,39819,ok,0,25728,0,0.0200,126,60036,0
0,2,3,0x03,270941496573875,270941540538750,43964,ok,0,25728,0,0.0200,187,60996,0
0,2,4,0x04,270941561927500,270941605307500,43380,ok,0,25728,0,0.0200,253,65353,0
0,2,5,0x05,270941626415125,270941666813500,40398,ok,0,25728,0,0.0200,317,64487,0
0,2,6,0x06,270941688523125,270941732730125,44207,ok,0,25728,0,0.0200,379,62108,0
0,2,7,0x07,270941753868375,270941791983750,38115,ok,0,25728,0,0.0200,444,65345,0
0,2,8,0x08,270941813121125,270941852821000,39699,ok,0,25728,0,0.0200,504,59252,0
0,2,9,0x09,270941873924250,270941914018625,40094,ok,0,25728,0,0.0200,565,60803,0
0,2,10,0x0a,270941935121500,270941975364000,40242,ok,0,25728,0,0.0200,626,61197,0
0,2,11,0x0b,270941996132750,270942033254875,37122,ok,0,25728,0,0.0200,687,61011,0
0,2,12,0x0c,270942054738875,270942098513000,43774,ok,0,25728,0,0.0200,745,58606,0
0,2,13,0x0d,270942119312375,270942157536750,38224,ok,0,25728,0,0.0200,810,64573,0
0,2,14,0x0e,270942178688875,270942216955375,38266,ok,0,25728,0,0.0200,869,59376,0
0,2,15,0x0f,270942238317250,,,timeout,,,0,0.0200,929,59628,0
0,2,16,0x10,270942277520125,,,timeout,,,0,0.0200,968,39202,0
0,2,17,0x11,270942315615250,,,timeout,,,0,0.0200,1006,38095,0
0,2,18,0x12,270942349655875,270942387510875,37855,ok,0,25728,0,0.0200,1040,34040,0
0,2,19,0x13,270942409015250,270942452634625,43619,ok,0,25728,0,0.0200,1100,59359,0
0,2,20,0x14,270942474125500,270942518169500,44044,ok,0,25728,0,0.0200,1165,65110,0
0,2,21,0x15,270942539655875,270942583655750,43999,ok,0,25728,0,0.0200,1230,65530,0
0,2,22,0x16,270942604897750,270942642959000,38061,ok,0,25728,0,0.0200,1296,65241,0
0,2,23,0x17,270942664184625,270942703765875,39581,ok,0,25728,0,0.0200,1355,59286,0
0,2,24,0x18,270942724948500,270942764855125,39906,ok,0,25728,0,0.0200,1416,60763,0
0,2,25,0x19,270942786329750,270942829713125,43383,ok,0,25728,0,0.0200,1477,61381,0
0,2,26,0x1a,270942850888875,270942890980375,40091,ok,0,25728,0,0.0200,1541,64559,0
0,2,27,0x1b,270942911730250,270942949577750,37847,ok,0,25728,0,0.0200,1602,60841,0
0,2,28,0x1c,270942970741375,270943009091500,38350,ok,0,25728,0,0.0200,1661,59011,0
0,2,29,0x1d,270943030207375,270943070187625,39980,ok,0,25728,0,0.0200,1721,59466,0
0,2,30,0x1e,270943090918125,270943128728750,37810,ok,0,25728,0,0.0200,1782,60710,0
0,2,31,0x1f,270943150186375,270943194162000,43975,ok,0,25728,0,0.0200,1841,59268,0
0,2,32,0x20,270943215297125,270943251135750,35838,ok,0,25728,0,0.0200,1906,65110,0
0,2,33,0x21,270943271692125,,,timeout,,,0,0.0200,1962,56395,0
0,2,34,0x22,270943306045500,,,timeout,,,0,0.0200,1997,34353,0
0,2,35,0x23,270943341746500,,,timeout,,,0,0.0200,2032,35701,0
0,2,36,0x24,270943376976000,270943415183750,38207,ok,0,25728,0,0.0200,2068,35229,0
0,2,37,0x25,270943436869875,270943480750250,43880,ok,0,25728,0,0.0200,2127,59893,0
0,2,38,0x26,270943501532000,270943539490500,37958,ok,0,25728,0,0.0200,2192,64662,0
0,2,39,0x27,270943561075125,270943605164250,44089,ok,0,25728,0,0.0200,2252,59543,0
0,2,40,0x28,270943626310125,270943664631375,38321,ok,0,25728,0,0.0200,2317,65235,0
0,2,41,0x29,270943685730375,270943725453125,39722,ok,0,25728,0,0.0200,2376,59420,0
0,2,42,0x2a,270943746529375,270943786603500,40074,ok,0,25728,0,0.0200,2437,60799,0
0,2,43,0x2b,270943807441625,270943845672875,38231,ok,0,25728,0,0.0200,2498,60912,0
0,2,44,0x2c,270943866834500,270943905123125,38288,ok,0,25728,0,0.0200,2557,59392,0
0,2,45,0x2d,270943925873875,270943964118125,38244,ok,0,25728,0,0.0200,2616,59039,0
0,2,46,0x2e,270943985257125,270944023476125,38219,ok,0,25728,0,0.0200,2676,59383,0
0,2,47,0x2f,270944044667125,270944084659125,39992,ok,0,25728,0,0.0200,2735,59410,0
0,2,48,0x30,270944106038000,270944149010125,42972,ok,0,25728,0,0.0200,2797,61370,0
0,2,49,0x31,270944170162250,270944208354000,38191,ok,0,25728,0,0.0200,2861,64124,0
1,3,0,0x00,270944291418375,270944329748875,38330,ok,0,25728,0,0.0200,21,121256,0
1,3,1,0x01,270944350497250,,,timeout,,,0,0.0200,80,59078,0
1,3,2,0x02,270944385947250,270944428781375,42834,ok,0,25728,0,0.0200,115,35450,0
1,3,3,0x03,270944450240625,270944495041750,44801,ok,0,25728,0,0.0200,179,64293,0
1,3,4,0x04,270944515766500,270944553326875,37560,ok,0,25728,0,0.0200,245,65525,0
1,3,5,0x05,270944574122875,270944612394625,38271,ok,0,25728,0,0.0200,303,58356,0
1,3,6,0x06,270944633552750,270944671822750,38270,ok,0,25728,0,0.0200,363,59429,0
1,3,7,0x07,270944693033375,270944733051750,40018,ok,0,25728,0,0.0200,422,59480,0
1,3,8,0x08,270944754646250,270944798333250,43687,ok,0,25728,0,0.0200,484,61612,0
1,3,9,0x09,270944819445375,270944857269375,37824,ok,0,25728,0,0.0200,549,64799,0
