step_idx,power_dbm_requested,tx_attempted,tx_done_ok,tx_aborted_airtime,rx_received,per_pct,rssi_min,rssi_mean,rssi_max,snr_min,snr_mean,snr_max
0,2,50,44,6,44,0.00,-120,-119.0,-118,-8,-6.6,-6
1,3,50,42,8,41,2.38,-120,-119.0,-118,-6,-5.7,-5
2,4,50,42,8,42,0.00,-120,-118.4,-118,-5,-4.5,-4
3,5,50,43,7,42,2.33,-119,-118.2,-117,-4,-3.6,-3
4,6,50,43,7,43,0.00,-118,-117.7,-115,-5,-2.5,-2
5,7,50,42,8,42,0.00,-118,-117.3,-117,-2,-1.7,-1
6,8,50,44,6,44,0.00,-118,-117.1,-116,-1,-1.0,0
7,9,50,44,6,44,0.00,-118,-116.5,-115,-1,-0.1,1
8,10,50,42,8,42,0.00,-116,-115.3,-114,0,1.0,2
9,11,50,42,8,41,2.38,-115,-114.4,-113,1,1.7,2
10,12,50,42,8,41,2.38,-115,-114.1,-112,1,2.0,3
11,13,50,42,8,42,0.00,-114,-113.3,-113,2,2.8,3
12,14,50,43,7,43,0.00,-113,-112.3,-112,2,3.1,4
13,15,50,44,6,44,0.00,-113,-111.6,-103,-6,3.8,5
14,16,50,42,8,42,0.00,-112,-110.8,-110,4,5.0,6
15,17,50,43,7,43,0.00,-111,-109.8,-100,-8,5.2,6
