# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: 68bc6070e969b76f3c3cbd3ffb4cb9d3e625c11a
# firmware_git_sha_short: 68bc6070e969
# build_timestamp_utc: 2026-05-20T23:56:08Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=120.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=993 radio_crc_err=5 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=1 rssi=-119 snr=-8 len=17 timestamp_us=233160380 payload_hex=5750207330302070303220693030303020
__RX_FRAME__ idx=2 rssi=-119 snr=-8 len=17 timestamp_us=233218788 payload_hex=5750207330302070303220693030303120
__RX_FRAME__ idx=3 rssi=-118 snr=-7 len=17 timestamp_us=233278003 payload_hex=5750207330302070303220693030303220
__RX_FRAME__ idx=4 rssi=-119 snr=-8 len=17 timestamp_us=233338620 payload_hex=5750207330302070303220693030303320
__RX_FRAME__ idx=5 rssi=-118 snr=-8 len=17 timestamp_us=233397664 payload_hex=5750207330302070303220693030303420
__RX_FRAME__ idx=6 rssi=-119 snr=-8 len=17 timestamp_us=233456306 payload_hex=5750207330302070303220693030303520
__RX_FRAME__ idx=7 rssi=-119 snr=-8 len=17 timestamp_us=233512249 payload_hex=5750207330302070303220693030303620
__RX_FRAME__ idx=8 rssi=-120 snr=-8 len=17 timestamp_us=233577037 payload_hex=5750207330302070303220693030303720
__RX_FRAME__ idx=9 rssi=-120 snr=-8 len=17 timestamp_us=233637137 payload_hex=5750207330302070303220693030303820
__RX_FRAME__ idx=10 rssi=-119 snr=-7 len=17 timestamp_us=233701145 payload_hex=5750207330302070303220693030303920
__RX_FRAME__ idx=11 rssi=-119 snr=-7 len=17 timestamp_us=233760519 payload_hex=5750207330302070303220693030313020
__RX_FRAME__ idx=12 rssi=-120 snr=-8 len=17 timestamp_us=233819126 payload_hex=5750207330302070303220693030313120
