# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: 68bc6070e969b76f3c3cbd3ffb4cb9d3e625c11a
# firmware_git_sha_short: 68bc6070e969
# build_timestamp_utc: 2026-05-20T23:56:08Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

timestamp_iso,step_idx,power_dbm_requested,power_dbm_echoed_first,count_sent,tx_done_ok,tx_done_fail,tx_timeout,radio_tx_ok_delta,radio_tx_abort_lbt_delta,radio_tx_abort_airtime_delta,mean_toa_us,tx_per_pct,rx_per_pct,rx_rssi_dbm_mean,rx_snr_db_mean,rx_crc_err_count
2026-05-20T23:55:22,0,2,2,50,44,0,6,44,0,6,25728.000,12.000,,,,
2026-05-20T23:55:25,1,3,3,50,42,0,8,42,0,8,25728.000,16.000,,,,
2026-05-20T23:55:28,2,4,4,50,42,0,8,42,0,8,25728.000,16.000,,,,
2026-05-20T23:55:31,3,5,5,50,44,0,6,44,0,6,25728.000,12.000,,,,
2026-05-20T23:55:34,4,6,6,50,44,0,6,44,0,6,25728.000,12.000,,,,
2026-05-20T23:55:37,5,7,7,50,45,0,5,45,0,5,25728.000,10.000,,,,
2026-05-20T23:55:40,6,8,8,50,44,0,6,44,0,6,25728.000,12.000,,,,
2026-05-20T23:55:43,7,9,9,50,43,0,7,43,0,7,25728.000,14.000,,,,
2026-05-20T23:55:46,8,10,10,50,42,0,8,42,0,8,25728.000,16.000,,,,
2026-05-20T23:55:49,9,11,11,50,42,0,8,42,0,8,25728.000,16.000,,,,
2026-05-20T23:55:52,10,12,12,50,42,0,8,42,0,8,25728.000,16.000,,,,
2026-05-20T23:55:54,11,13,13,50,41,0,9,41,0,9,25728.000,18.000,,,,
2026-05-20T23:55:57,12,14,14,50,43,0,7,43,0,7,25728.000,14.000,,,,
2026-05-20T23:56:00,13,15,15,50,43,0,7,43,0,7,25728.000,14.000,,,,
2026-05-20T23:56:03,14,16,16,50,44,0,6,44,0,6,25728.000,12.000,,,,
2026-05-20T23:56:06,15,17,17,50,41,0,9,41,0,9,25728.000,18.000,,,,
