id,name,category,stock,qty_per_machine,qty_source,size,mass_each_kg,mass_total_kg,holes,rev,geometry_id,drawing,flat_pattern
P1,"Side panel, outer, left",plate,PL 1/2 [12.7] ASTM A36,1,model,1392.6 x 1000,82.41,82.41,24,A,0dfeb285,pdf/P1_side-panel-outer-left.pdf,dxf/P1_side-panel-outer-left.dxf
P2,"Side panel, outer, right",plate,PL 1/2 [12.7] ASTM A36,1,model,1392.6 x 1000,82.41,82.41,24,A,2e19ae59,pdf/P2_side-panel-outer-right.pdf,dxf/P2_side-panel-outer-right.dxf
P3,"Side panel, inner",plate,PL 1/2 [12.7] ASTM A36,2,model,1349.2 x 968.2,75.28,150.55,30,A,dbe7db06,pdf/P3_side-panel-inner.pdf,dxf/P3_side-panel-inner.dxf
P4,Back stiffener plate,plate,PL 1/4 [6.35] ASTM A36,1,model,1020 x 650,32.97,32.97,24,A,e035d508,pdf/P4_back-stiffener-plate.pdf,dxf/P4_back-stiffener-plate.dxf
P5,"Front stiffener plate, centre",plate,PL 1/4 [6.35] ASTM A36,1,model,481.6 x 260.4,6.22,6.22,4,A,e8eb53fc,pdf/P5_front-stiffener-plate-centre.pdf,dxf/P5_front-stiffener-plate-centre.dxf
P6,"Front stiffener plate, outer",plate,PL 1/4 [6.35] ASTM A36,2,model,269.2 x 127,1.68,3.35,8,A,ce46ccb4,pdf/P6_front-stiffener-plate-outer.pdf,dxf/P6_front-stiffener-plate-outer.dxf
P7,Bottom stiffener plate,plate,PL 1/4 [6.35] ASTM A36,1,model,1196.8 x 1020,60.57,60.57,80,A,d57bacba,pdf/P7_bottom-stiffener-plate.pdf,dxf/P7_bottom-stiffener-plate.dxf
P8,Motor mounting plate,plate,PL 1/4 [6.35] ASTM A36,2,model,1196.8 x 254,14.13,28.26,10,A,4a77954d,pdf/P8_motor-mounting-plate.pdf,dxf/P8_motor-mounting-plate.dxf
P9,"Arm side plate, inner",plate,PL 1/4 [6.35] ASTM A36,2,model,1792 x 350.1,13.21,26.42,21,A,c66393d2,pdf/P9_arm-side-plate-inner.pdf,dxf/P9_arm-side-plate-inner.dxf
P10,"Arm side plate, outer",plate,PL 1/4 [6.35] ASTM A36,2,model,1792 x 350.1,13.62,27.24,17,A,cd282970,pdf/P10_arm-side-plate-outer.pdf,dxf/P10_arm-side-plate-outer.dxf
P11,Arm pivot mount plate,plate,PL 1/4 [6.35] ASTM A36,4,model,152.3 x 152.3,0.78,3.10,6,A,5a8028c0,pdf/P11_arm-pivot-mount-plate.pdf,dxf/P11_arm-pivot-mount-plate.dxf
P12,Bucket back plate,plate,PL 1/4 [6.35] ASTM A36,1,model,1112.7 x 450,24.66,24.66,0,A,c3db581c,pdf/P12_bucket-back-plate.pdf,dxf/P12_bucket-back-plate.dxf
P13,Bucket bottom plate,plate,PL 1/4 [6.35] ASTM A36,1,model,1112.7 x 600,32.79,32.79,0,A,7302a2b0,pdf/P13_bucket-bottom-plate.pdf,dxf/P13_bucket-bottom-plate.dxf
P14,Bucket side plate,plate,PL 1/4 [6.35] ASTM A36,2,model,600 x 450,8.83,17.66,0,A,61d042e5,pdf/P14_bucket-side-plate.pdf,dxf/P14_bucket-side-plate.dxf
P15,Platform deck,plate,PL 1/4 [6.35] ASTM A36,1,model,735.5 x 400,14.30,14.30,42,A,e755d2b1,pdf/P15_platform-deck.pdf,dxf/P15_platform-deck.dxf
P16,Platform pivot bracket,plate,PL 1/4 [6.35] ASTM A36,2,model,400 x 230,2.45,4.90,4,A,77336b8c,pdf/P16_platform-pivot-bracket.pdf,dxf/P16_platform-pivot-bracket.dxf
P17,Wheel hub lug plate,plate,PL 1/2 [12.7] ASTM A36,4,model,228.6 x 228.6,3.71,14.86,9,A,ba3b4756,pdf/P17_wheel-hub-lug-plate.pdf,dxf/P17_wheel-hub-lug-plate.dxf
P18,Wheel hub gusset,plate,PL 1/4 [6.35] ASTM A36,16,model,86.4 x 83.9,0.18,2.89,0,A,81082eca,pdf/P18_wheel-hub-gusset.pdf,dxf/P18_wheel-hub-gusset.dxf
P19,Bucket cutting edge,plate,PL 3/4 [19.05] ASTM A36,1,model,1100 x 80,13.16,13.16,0,A,2e34993a,pdf/P19_bucket-cutting-edge.pdf,dxf/P19_bucket-cutting-edge.dxf
A1,Back stiffener outer vertical angle,angle,"L2x2x1/4 ANGLE (2"" x 2"" x 1/4""), ASTM A36",2,model,"650 [~25-9/16""]",3.06,6.12,8,A,1c18978d,pdf/A1_back-stiffener-outer-vertical-angle.pdf,
A2,Back stiffener inner vertical angle,angle,"L2x2x1/4 ANGLE (2"" x 2"" x 1/4""), ASTM A36",4,model,"650 [~25-9/16""]",3.06,12.23,8,A,1c18978d,pdf/A2_back-stiffener-inner-vertical-angle.pdf,
A4,Frame tube mount angle,angle,"L2x2x1/4 ANGLE (2"" x 2"" x 1/4""), ASTM A36",26,model,"146.1 [5-3/4""]",0.67,17.38,4,A,767f5c4c,pdf/A4_frame-tube-mount-angle.pdf,
A5,Arm crossbeam mount angle,angle,"L2x2x1/4 ANGLE (2"" x 2"" x 1/4""), ASTM A36",4,model,"146.1 [5-3/4""]",0.67,2.67,4,A,767f5c4c,pdf/A5_arm-crossbeam-mount-angle.pdf,
A6-1,"Bottom stiffener angle, rear segment",angle,"L2x2x1/4 ANGLE (2"" x 2"" x 1/4""), ASTM A36",10,model,"200 [7-7/8""]",0.94,9.43,2,A,28e51083,pdf/A6-1_bottom-stiffener-angle-rear-segment.pdf,
A6-2,"Bottom stiffener angle, middle segment",angle,"L2x2x1/4 ANGLE (2"" x 2"" x 1/4""), ASTM A36",10,model,"300 [11-13/16""]",1.41,14.11,4,A,c3f27e32,pdf/A6-2_bottom-stiffener-angle-middle-segment.pdf,
A6-3,"Bottom stiffener angle, front segment",angle,"L2x2x1/4 ANGLE (2"" x 2"" x 1/4""), ASTM A36",10,model,"250 [~9-13/16""]",1.18,11.77,3,A,f9ddbc56,pdf/A6-3_bottom-stiffener-angle-front-segment.pdf,
A7,Platform side angle arm,angle,"L2x2x1/4 ANGLE (2"" x 2"" x 1/4""), ASTM A36",2,model,"247.6 [9-3/4""]",1.14,2.28,4,A,f7cf6c7b,pdf/A7_platform-side-angle-arm.pdf,
A8,Platform transverse angle,angle,"L2x2x1/4 ANGLE (2"" x 2"" x 1/4""), ASTM A36",2,model,"729.2 [~28-11/16""]",3.44,6.87,3,A,4ed9ce9c,pdf/A8_platform-transverse-angle.pdf,
A10,Front stiffener outer angle,angle,"L2x2x1/4 ANGLE (2"" x 2"" x 1/4""), ASTM A36",8,model,"120.7 [4-3/4""]",0.56,4.47,4,A,a0c7d01c,pdf/A10_front-stiffener-outer-angle.pdf,
T1,Front frame cross tube,tube,"HSS 6x2x1/4 RECT TUBE (2"" x 6"" x 1/4""), ASTM A500",1,model,"1070.8 [~42-3/16""]",20.18,20.18,12,A,db041842,pdf/T1_front-frame-cross-tube.pdf,
T2,Rear frame cross tube,tube,"HSS 6x2x1/4 RECT TUBE (2"" x 6"" x 1/4""), ASTM A500",1,model,"1070.8 [~42-3/16""]",20.18,20.18,12,A,db041842,pdf/T2_rear-frame-cross-tube.pdf,
T3,Arm crossbeam tube,tube,"HSS 6x2x1/4 RECT TUBE (2"" x 6"" x 1/4""), ASTM A500",1,model,"849.2 [33-7/16""]",16.58,16.58,4,A,0e838a26,pdf/T3_arm-crossbeam-tube.pdf,
T4,Arm main tube,tube,"HSS 6x2x1/4 RECT TUBE (2"" x 6"" x 1/4""), ASTM A500",2,model,"1356.5 [~53-7/16""]",24.54,49.08,8,A,125a5abd,pdf/T4_arm-main-tube.pdf,
T6,Arm pivot DOM tube,tube,DOM TUBE 2.000 OD x .250 WALL [50.8 x 6.35],2,model,"120 [~4-3/4""]",0.83,1.67,1,A,1518a5e5,pdf/T6_arm-pivot-dom-tube.pdf,
T7,Wheel hub DOM tube,tube,"DOM TUBE 2.000 OD [50.8], BORED TO THE ID SHOWN",4,model,"139.7 [5-1/2""]",1.29,5.15,2,A,ce69c997,pdf/T7_wheel-hub-dom-tube.pdf,
R1,Lift cylinder base pin,bar,"Ø1 [25.4] ROUND BAR, 4140 OR EQUIVALENT",2,model,"160 [6-5/16""]",0.63,1.26,2,A,ef5fe410,pdf/R1_lift-cylinder-base-pin.pdf,
R2,Arm pivot pin,bar,"Ø1-1/2 [38.1] ROUND BAR, 4140 OR EQUIVALENT",2,model,"226.4 [~8-15/16""]",2.02,4.04,0,A,51085cad,pdf/R2_arm-pivot-pin.pdf,
R3,Clevis pin 3/4,bar,"Ø3/4 [19.05] ROUND BAR, 4140 OR EQUIVALENT",4,model,"106.2 [4-3/16""]",0.23,0.94,2,A,66b1ddff,pdf/R3_clevis-pin-3-4.pdf,
R4,Bucket pivot pin,bar,"Ø1 [25.4] ROUND BAR, 4140 OR EQUIVALENT",2,model,"106.2 [4-3/16""]",0.42,0.83,2,A,72dd1313,pdf/R4_bucket-pivot-pin.pdf,
R5,Platform pivot pin,bar,"Ø1 [25.4] ROUND BAR, 4140 OR EQUIVALENT",2,model,"55.4 [2-3/16""]",0.22,0.44,0,A,27f76c5e,pdf/R5_platform-pivot-pin.pdf,
R6,Wheel shaft,bar,Ø1-1/4 [31.75] ROUND SHAFTING,4,model,"474 [~18-11/16""]",2.93,11.71,0,A,fb8a4df3,pdf/R6_wheel-shaft.pdf,
U1,Arm crossbeam cylinder lug,lug,"HSS 3x3x1/4 SQUARE TUBE, ASTM A500",2,model,76.2 x 76.2 x 66.7,0.66,1.32,5,A,46fc755a,pdf/U1_arm-crossbeam-cylinder-lug.pdf,
U2,Bucket pivot lug,lug,"HSS 3x3x1/4 SQUARE TUBE, ASTM A500",2,model,76.2 x 76.2 x 66.7,0.66,1.32,1,A,e49d4fda,pdf/U2_bucket-pivot-lug.pdf,
U3,Bucket cylinder lug,lug,"HSS 3x3x1/4 SQUARE TUBE, ASTM A500",2,model,76.2 x 76.2 x 66.7,0.68,1.36,1,A,8beef844,pdf/U3_bucket-cylinder-lug.pdf,
J1,Tube drilling jig,printed,PLA OR PETG FILAMENT,4,manual,177.7 x 101.5 x 76.1,0.64,2.57,2,A,998556df,pdf/J1_tube-drilling-jig.pdf,
J2,Pivot mount welding jig base,printed,PLA OR PETG FILAMENT,1,manual,243.2 x 192.4 x 34.3,0.47,0.47,1,A,2458ae32,pdf/J2_pivot-mount-welding-jig-base.pdf,
J3,Pivot mount welding jig ring,printed,PLA OR PETG FILAMENT,2,manual,171.4 x 171.4 x 36.4,0.30,0.59,1,A,b5d351d9,pdf/J3_pivot-mount-welding-jig-ring.pdf,
J4,Pivot welding spacer jig,printed,PLA OR PETG FILAMENT,2,manual,100 x 100 x 50.8,0.23,0.45,0,A,236bb234,pdf/J4_pivot-welding-spacer-jig.pdf,
J5,Angle iron drill jig,printed,PLA OR PETG FILAMENT,2,manual,100 x 54.8 x 54.8,0.05,0.10,2,A,8e3beaad,pdf/J5_angle-iron-drill-jig.pdf,
J6,Tube drill jig,printed,PLA OR PETG FILAMENT,2,manual,160.4 x 58.8 x 50,0.10,0.20,0,A,9b6f9a77,pdf/J6_tube-drill-jig.pdf,
F1,Hex nut 1-1/2-6,fastener,"HEX NUT 1-1/2-6 UNC-2B, GRADE 8, ASME B18.2.2",4,model,1-1/2-6 UNC,0.42,1.69,0,A,5f99033d,pdf/F1_hex-nut-1-1-2-6.pdf,
F2,Platform lock pin 5/8,fastener,"HITCH / CLEVIS PIN Ø5/8 [15.875] x 1-5/16 USABLE, ZINC",2,model,Ø5/8 x 1-5/16,0.05,0.10,0,A,dff4b9e8,pdf/F2_platform-lock-pin-5-8.pdf,
